"","amp_coeff","peak_time"
"AT1G34750",29.5482699651748,6.41161433773628
"AT1G35140",19.4024910709098,2.99413773151055
"AT1G35180",-11.591697254221,7.00415930014699
"AT1G35210",42.5093768061077,4.28185061136937
"AT1G35230",110.235875872522,8.05243262556505
"AT1G35350",11.8194545266172,3.84837865969235
"AT1G35420",-24.4477946749051,8.13704337523466
"AT1G35612",-43971.2046829263,204.322334634238
"AT1G35710",25.4809720993467,4.96218981855815
"AT1G36622",41.9650481969678,5.69643483247698
"AT1G36640",14.4739333285871,5.54520863425765
"AT1G37130",13.8096990614523,5.97157206764868
"AT1G42550",-112.393982203377,12.8102545768696
"AT1G42990",16.7692551659473,4.94169477449282
"AT1G43910",95.1697260903508,7.53600974361185
"AT1G44000",-21.560156364645,7.18117695430371
"AT1G44100",5.52975838287433,3.98595537360789
"AT1G44130",30.5352125741058,6.28694568249671
"AT1G44446",-19.1450139542209,6.56501348574732
"AT1G44920",-9737.7982976774,62.2700879238461
"AT1G45145",319.008571455401,15.3370653938284
"AT1G45191",-5.53012114798745,5.50341628953639
"AT1G45230",-1503.13602949491,45.6816063605468
"AT1G46264",-14692.6552905112,280.524288791814
"AT1G46554",-3768.57915064863,50.2124740899582
"AT1G47510",15.5650332240072,5.7759417371868
"AT1G47520",-27.0791260270038,8.57623041767468
"AT1G47580",-15.6549155653003,6.18519894162071
"AT1G47860",-15.1542523364919,6.63295633759835
"AT1G47890",21.2827735148201,6.48841765364719
"AT1G47970",-44.5961969294298,10.872604827699
"AT1G48030",-11.0360228064879,6.92683978596302
"AT1G48210",7.63435091440073,5.96734543464239
"AT1G48320",31.3628673640856,5.88466645500902
"AT1G48330",-56328.3881181648,323.974131933124
"AT1G48370",8.7111366243225,5.8128821448432
"AT1G48540",-6.5475555113941,6.38344639099753
"AT1G48850",11.4833026032839,7.1445944593723
"AT1G49000",10.4964349926776,4.80754273587551
"AT1G49010",-27258.4257539944,135.98444228938
"AT1G49050",14.7633175971052,4.6992941078735
"AT1G49130",-85515.1686052686,190.433959620823
"AT1G49245",-24552.03333675,196.281719927152
"AT1G49380",-33153.8744890947,114.042190896196
"AT1G49430",-15.2349198717812,7.9596422874899
"AT1G49470",-10.4478657090212,6.07365358324253
"AT1G49510",-3573.96645321214,72.3477095634597
"AT1G49650",-14.3718428359673,6.75430849476813
"AT1G49730",-5.35227628843986,5.98218494719009
"AT1G49740",-5.57794931973983,5.46064577724207
"AT1G49975",-89.2098376268791,12.7955615253294
"AT1G49980",-6.25502911830427,6.21642200874262
"AT1G50020",-85.1619945965631,14.0406188582453
"AT1G50055",-13287.4258387905,130.129193196998
"AT1G50290",-22.1677186988148,6.38763573196996
"AT1G50460",-3.29282147689402,5.1557516643047
"AT1G50732",-18.1769191814068,6.72388390568388
"AT1G50740",21.7460271817654,4.88147887529588
"AT1G51080",-14.5417718973039,6.6967894596837
"AT1G51100",-17.3510732708308,6.76261529835935
"AT1G51270",10.5464699498335,4.37085253948948
"AT1G51400",-16.6885656002821,6.70630909289699
"AT1G51402",-18.5673560623084,6.24857157078022
"AT1G51430",-52.784952797407,9.81336506405869
"AT1G51440",-14.6328342990128,5.55139970945243
"AT1G51500",-7.589378186482,5.6532913324003
"AT1G51570",-8.73041089988134,6.48836866299768
"AT1G51620",23.7827196007865,4.40059104986575
"AT1G51640",20.4549800669554,6.33586191838645
"AT1G51660",34.6543333297014,5.54522617629083
"AT1G51670",7.82374983308893,4.72188696295702
"AT1G51700",9.48154642588556,3.99203673160241
"AT1G51760",69.3433356468228,8.51160130510625
"AT1G51790",20.2214304974917,5.39621350164199
"AT1G51800",28.4284996639579,5.47113593769149
"AT1G51820",8.75860538767406,4.00665387544346
"AT1G51890",97.6248906921635,8.24125185518284
"AT1G51920",21.2304387117177,4.98619234974754
"AT1G52155",-78785.791603514,1032.91022340984
"AT1G52190",-18.5162514397865,8.75588308964235
"AT1G52200",37.4598629793673,5.93953228949267
"AT1G52340",-8.82492908948889,5.60845199601027
"AT1G52342",-21.643807419501,6.19033483730543
"AT1G52780",21.678644045998,8.77187930210562
"AT1G52830",-67.8769041856182,12.4435951683563
"AT1G52870",-22.644723908598,8.20519644773862
"AT1G52890",109.065219868823,11.2333181101879
"AT1G53090",-16.0199365218792,7.36673976406086
"AT1G53430",10.9141675036632,4.38329524368804
"AT1G53440",7.21456116713914,4.41454228282447
"AT1G53540",17.2011900710201,6.51917821139667
"AT1G53620",39.4472909062167,5.65868226976304
"AT1G53625",48.0639561957445,4.86707112015503
"AT1G53750",2.46875620377364,5.58844247692627
"AT1G53800",-8.96132866588204,6.87274142382706
"AT1G54090",5.88016022579047,5.41315423491085
"AT1G54200",-14.5133844161063,6.4545366091537
"AT1G54350",-548.347607932438,23.8860972740494
"AT1G54500",-28.5981619715183,8.58664610410943
"AT1G54730",-22374.2522196544,95.9486584518452
"AT1G54740",-3.07136012130048,5.0134145783022
"AT1G54820",-23.9790490045705,6.95804387683694
"AT1G54960",1551.41876158374,35.5702960213296
"AT1G55210",1.82970553012766,5.60949326824131
"AT1G55230",10.1427838444307,5.90623726101323
"AT1G55260",-6.21392174458165,5.52728565022945
"AT1G55310",167.477885198706,15.2423385447086
"AT1G55340",-15972.3329528337,107.677423661328
"AT1G55360",-14.8627978124678,7.83929071515381
"AT1G55370",-11389.6347934639,78.8229812345086
"AT1G55450",19.7225133829444,4.51095437712424
"AT1G55530",8.59576787776622,5.58563176805888
"AT1G55790",17.0352304460808,5.88384048880651
"AT1G55910",6.31861644613868,5.6055567870206
